metric_1,Main metric,Correlation metric,title,copy,how_it_works
recovery,HRV(t),Training Intensity(t-1),Recover better,"On days when your training intensity reached [X], your next-day HRV tended to drop below [Y] ms.","The downward direction of the regression line suggests that harder sessions are currently creating more recovery stress, making post-training recovery especially important for protecting next-day HRV."
sleep_disruptions,HRV(t),Disruptions(t),Reduce Sleep Disruptions,"When sleep disruptions exceeded [X] per hour, next-day HRV typically fell below [Y] ms.","The downward direction of the regression line suggests that more sleep disruptions are linked to lower next-day HRV, making sleep continuity especially important for protecting overnight recovery."
deep_sleep,HRV(t),DeepSleep(t),Improve Deep Sleep,"On nights when your Deep Sleep dropped below [X] min, your next-day HRV tended to fall below [Y] ms.","The upward direction of the regression line suggests that higher HRV is linked to more deep sleep, making deep sleep quality especially important for recovery."
rem_sleep,HRV(t),REM(t),Improve REM Sleep,"On nights when your REM Sleep dropped below [X] min, your next-day HRV tended to fall below [Y] ms.","The upward direction of the regression line suggests that higher HRV is linked to more rem sleep, making rem sleep quality especially important for recovery."
recovery,HRV rolling mean (7-day),Training Intensity rolling mean (7-day),Improve Recovery Quality,"When your 7-day average training intensity stayed above [X], your 7-day average HRV tended to remain below [Y] ms.","This graph suggests that higher training intensity across the week was usually associated with lower baseline HRV, making sustained recovery quality especially important for protecting long-term HRV."
sleep_quality,HRV(t),AwakePhase(t),Reduce Overnight Awake Time,"On nights when your awake time rose above [X] minutes, your next-day HRV tended to drop below [Y] ms.","The downward direction of the regression line suggests that more overnight awake time is linked to lower next-day HRV, making sleep continuity especially important for recovery."
hrv,HRV(t),HRV(t-1),Reduce HRV Carryover,"When your HRV dropped below [X] ms, it often remained constrained the next morning instead of fully rebounding toward baseline.","The upward direction of the regression line suggests that low HRV tends to carry into the next morning, making recovery especially important for a rebound to baseline."
recovery,RHR(t),Training Intensity(t-1),Recover Better,"On days when your training intensity reached [X], your next-day RHR tended to rise above [Y] bpm.","The upward direction of the regression line suggests that harder sessions are currently creating more recovery stress, making post-training recovery especially important for protecting next-day RHR."
sleep_disruptions,RHR(t),Disruptions(t),Reduce Sleep Disruptions,"On nights when your sleep disruptions rose above [X] per hour, your next-day RHR tended to rise above [Y] bpm.","The upward direction of the regression line suggests that more sleep disruptions are linked to higher next-day RHR, making sleep continuity especially important for recovery."
deep_sleep,RHR(t),DeepSleep(t),Improve Deep Sleep,"On nights when your Deep Sleep dropped below [X] min, your next-day RHR tended to rise above [Y] bpm.","The downward direction of the regression line suggests that less deep sleep is linked to higher next-day RHR, making deep sleep quality especially important for recovery."
rem_sleep,RHR(t),REM(t),Improve REM Sleep,"On nights when your REM Sleep dropped below [X] min, your next-day RHR tended to rise above [Y] bpm.","The downward direction of the regression line suggests that less deep sleep is linked to higher next-day RHR, making REM sleep quality especially important for recovery."
recovery,RHR rolling mean (7-day),Training Intensity rolling mean (7-day),Improve Recovery Quality,"When your 7-day average training intensity stayed above [X], your 7-day average RHR tended to rise above [Y] bpm.","This graph suggests that higher training intensity across the week was usually associated with higher baseline RHR, making sustained recovery quality especially important for protecting long-term cardiovascular recovery."
sleep_quality,RHR(t),AwakePhase(t),Reduce Overnight Awake Time,"On nights when your awake time rose above [X] minutes, your next-day RHR tended to rise above [Y] bpm.","The upward direction of the regression line suggests that more awake time is linked to higher next-day RHR, making sleep continuity important for recovery."
rhr,RHR(t),RHR(t-1),Reduce RHR Carryover,"When your RHR climbed above [X] bpm, it often stayed elevated the next morning instead of fully returning to baseline.","The upward direction of the regression line suggests that elevated RHR tends to carry into the next morning, making recovery especially important for a rebound to baseline."
sleep_quality,TotalSleep(t),Training Intensity(t-1),Improve Sleep Duration,"On days when your training intensity reached [X], your total sleep that night tended to fall below [Y] hours.","The downward direction of the regression line suggests that harder training is linked to less sleep that night, making recovery especially important for sleep duration."
sleep_disruptions,TotalSleep(t),Disruptions(t),Reduce Sleep Disruptions,"On nights when your sleep disruptions rose above [X] per hour, your total sleep that night tended to fall below [Y] hours.","The downward direction of the regression line suggests that more sleep disruptions are linked to less total sleep, making sleep continuity important for sleep duration."
sleep_quality,TotalSleep(t),AwakePhase(t),Reduce Overnight Awake Time,"On nights when your awake time rose above [X] minutes, your total sleep that night tended to fall below [Y] hours.","The downward direction of the regression line suggests that more overnight awake time is linked to less total sleep, making sleep continuity especially important."
sleep_quality,TotalSleep rolling mean (7-day),Training Intensity rolling mean (7-day),Protect Sleep Duration,"When your 7-day average training intensity stayed above [X], your 7-day average sleep duration tended to remain below [Y] hours.","This graph suggests that higher training intensity across the week was usually associated with lower sleep duration, making recovery especially important for protecting long-term sleep quantity."
sleep_disruptions,Disruptions(t),Training Intensity(t-1),Improve Sleep Continuity,"On days when your training intensity reached [X], your sleep disruptions that night tended to rise above [Y] per hour.","The upward direction of the regression line suggests that harder training is linked to more sleep disruptions that night, making recovery especially important for sleep continuity."
sleep_disruptions,Disruptions rolling mean (7-day),Training Intensity rolling mean (7-day),Protect Sleep Continuity,"When your 7-day average training intensity stayed above [X], your 7-day average sleep disruptions tended to remain above [Y] per hour.","This graph suggests that higher training intensity across the week was usually associated with more sleep disruptions, making sleep continuity especially important to protect long-term sleep continuity."
recovery,REM(t),Training Intensity(t-1),Support Recovery Quality,"On days when your training intensity reached [X], your REM Sleep that night tended to fall below [Y] hours.","The downward direction of the regression line suggests that harder training is linked to less REM sleep, making post-training recovery important for REM sleep quality."
sleep_disruptions,REM(t),Disruptions(t),Reduce Sleep Disruptions,"On nights when your sleep disruptions rose above [X] per hour, your REM Sleep that night tended to fall below [Y] hours.","The downward direction of the regression line suggests that more sleep disruptions are linked to less REM sleep, making sleep continuity important for REM sleep quality."
sleep_quality,REM(t),AwakePhase(t),Reduce Overnight Awake Time,"On nights when your awake time rose above [X] minutes, your REM Sleep that night tended to fall below [Y] hours.","The downward direction of the regression line suggests that more awake time is linked to less REM sleep, making sleep continuity important for REM sleep quality."
rem_sleep,REM rolling mean (7-day),Training Intensity rolling mean (7-day),Protect REM Sleep,"When your 7-day average training intensity stayed above [X], your 7-day average REM Sleep tended to remain below [Y] hours.","This graph suggests that higher training intensity across the week was usually associated with lower REM sleep, making recovery especially important for protecting long-term REM sleep quality."
recovery,DeepSleep(t),Training Intensity(t-1),Support Recovery Quality,"On days when your training intensity reached [X], your Deep Sleep that night tended to fall below [Y] hours.","The downward direction of the regression line suggests that harder training is linked to less deep sleep, making post-training recovery especially important for Deep Sleep quality."
sleep_disruptions,DeepSleep(t),Disruptions(t),Reduce Sleep Disruptions,"On nights when your sleep disruptions rose above [X] per hour, your Deep Sleep that night tended to fall below [Y] hours.","The downward direction of the regression line suggests that more sleep disruptions are linked to less deep sleep, making sleep continuity important for deep sleep quality."
sleep_quality,DeepSleep(t),AwakePhase(t),Reduce Overnight Awake Time,"On nights when your awake time rose above [X] minutes, your Deep Sleep that night tended to fall below [Y] hours.","The downward direction of the regression line suggests that more awake time is linked to less deep sleep, making sleep continuity especially important for deep sleep quality."
deep_sleep,DeepSleep rolling mean (7-day),Training Intensity rolling mean (7-day),Protect Deep Sleep,"When your 7-day average training intensity stayed above [X], your 7-day average Deep Sleep tended to remain below [Y] hours.","This graph suggests that higher training intensity across the week was usually associated with lower deep sleep, making sustained recovery especially important for protecting long-term deep sleep quality."
recovery,LightSleep(t),Training Intensity(t-1),Support Recovery Quality,"On days when your training intensity reached [X], your Light Sleep that night tended to rise above [Y] hours.","The upward direction of the regression line suggests that harder training is linked to more light sleep, making post-training recovery important for reducing light sleep that night."
sleep_disruptions,LightSleep(t),Disruptions(t),Reduce Sleep Disruptions,"On nights when your sleep disruptions rose above [X] per hour, your Light Sleep that night tended to rise above [Y] hours.","The upward direction of the regression line suggests that more sleep disruptions are linked to more light sleep, making sleep continuity important for reducing light sleep duration."
sleep_quality,LightSleep(t),AwakePhase(t),Reduce Awake Phases,"On nights when your awake time rose above [X] minutes, your Light Sleep that night tended to rise above [Y] hours.","The upward direction of the regression line suggests that more awake phases are linked to more light sleep, making sleep stability important for reducing light sleep duration."
sleep_quality,LightSleep rolling mean (7-day),Training Intensity rolling mean (7-day),Keep Light Sleep Low,"When your 7-day average training intensity stayed above [X], your 7-day average Light Sleep tended to remain above [Y] hours.","This graph suggests that higher training intensity across the week was usually associated with lower deep sleep, making sustained recovery especially important for protecting long-term sleep stability."
recovery,Awake(t),Training Intensity(t-1),Support Recovery Quality,"On days when your training intensity reached [X], your nightly awake time that night tended to rise above [Y] hours.","The upward direction of the regression line suggests that harder training sessions are linked to more awake time, making post-training recovery especially important for sleep continuity."
sleep_disruptions,Awake(t),Disruptions(t),Reduce Sleep Disruptions,"On nights when your sleep disruptions rose above [X] per hour, your nightly awake time that night tended to rise above [Y] hours.","The upward direction of the regression line suggests that more sleep disruptions are linked to more awake time, making sleep continuity especially important for reducing wakefulness overnight."
sleep_quality,Awake rolling mean (7-day),Training Intensity rolling mean (7-day),Keep Awake Phases Low,"When your 7-day average training intensity stayed above [X], your 7-day average nightly awake time tended to remain above [Y] hours.","This graph suggests that higher training intensity across the week was usually associated with more awake time, making recovery especially important for long-term sleep continuity."