metric,graph,version,title,copy,how_it_works
sleep_disruptions,cohort,baseline,Improve Sleep Continuity,Your sleep disruptions are [X]% higher than average for your age and sex: [A] per hour vs [B] per hour.,This graph shows that your sleep disruptions were generally above the demographic average across the last 30 days.
deep_sleep,cohort,baseline,Improve Deep Sleep,Your deep sleep is [X]% lower than average for your age and sex: [A] min vs [B] min.,This graph shows that your deep sleep was generally below the demographic average across the last 30 days.
rem_sleep,cohort,baseline,Improve REM Sleep,Your REM sleep is [X]% lower than average for your age and sex: [A] min vs [B] min.,This graph shows that your REM sleep was generally below the demographic average across the last 30 days.
hrv,cohort,baseline,Improve Baseline HRV,Your HRV is [X]% lower than average for your age and sex: [A] ms vs [B] ms.,This graph shows that your HRV was generally below the demographic average across the last 30 days.
rhr,cohort,baseline,Improve Baseline RHR,Your resting heart rate is [X]% lower than average for your age and sex: [A] bpm vs [B] bpm.,This graph shows that your RHR was generally above the demographic average across the last 30 days.
sleep_disruptions,cohort,top 10%,Optimise Sleep Continuity,"Your sleep disruptions are already better than average, with room to improve toward the top 10%: [A] per hour vs [B] per hour.",This graph shows where your sleep disruptions have been sitting relative to the top 10% for your demographic over the last 30 days.
deep_sleep,cohort,top 10%,Optimise Deep Sleep,"Your deep sleep is already above average, with room to improve toward the top 10%: [A] min vs [B] min.",This graph shows where your deep sleep has been sitting relative to the top 10% for your demographic over the last 30 days.
rem_sleep,cohort,top 10%,Optimise REM Sleep,"Your REM sleep is already above average, with room to improve toward the top 10%: [A] min vs [B] min.",This graph shows where your REM sleep has been sitting relative to the top 10% for your demographic over the last 30 days.
hrv,cohort,top 10%,Optimise Baseline HRV,"Your baseline HRV is already above average, with room to improve toward the top 10%: [A] ms vs [B] ms.",This graph shows where your HRV has been sitting relative to the top 10% for your demographic over the last 30 days.
rhr,cohort,top 10%,Optimise Baseline RHR,"Your resting heart rate is already better than average, with room to improve toward the top 10%: [A] bpm vs [B] bpm.",This graph shows where your RHR has been sitting relative to the top 10% for your demographic over the last 30 days.
sleep_disruptions,variance,unstable,Stabilise Sleep Continuity,"Your sleep disruptions are top 10%, but [X]% of nights fall outside range. The goal is stronger consistency.","This graph shows that your sleep disruptions are generally good, but there are still too many nights outside the target range."
deep_sleep,variance,unstable,Stabilise Deep Sleep,"Your deep sleep is already strong, but [X]% of nights fall outside range. The goal is greater consistency.","This graph shows that your deep sleep is already strong on average, but it still moves outside the target range too often."
rem_sleep,variance,unstable,Stabilise REM Sleep,"Your REM sleep is already strong, but [X]% of nights fall outside range. The goal is greater consistency.","This graph shows that your REM sleep is already strong on average, but it still moves outside the target range too often."
hrv,variance,unstable,Stabilise Baseline HRV,"Your HRV is top 10%, but [X]% of nights fall outside range. The goal is stronger recovery consistency.","This graph shows that your HRV is already strong on average, but it still moves outside the target range too often."
rhr,variance,unstable,Stabilise Baseline RHR,"Your resting heart rate is top 10%, but [X]% of nights fall outside range. The goal is stronger consistency.","This graph shows that your RHR is already strong on average, but it still moves outside the target range too often."
sleep_disruptions,variance,variable,Refine Sleep Continuity,Your sleep disruptions are already elite. Only [X]% of nights fall outside range. The goal is greater robustness.,"This graph shows that your sleep disruptions are already in a good place, with only a few nights still sitting outside the target range.
"
deep_sleep,variance,variable,Refine Deep Sleep,Your deep sleep is already elite. Only [X]% of nights fall outside range. The goal is greater robustness.,"This graph shows that your deep sleep is already strong and mostly stays in range, with just a few nights still sitting outside it."
rem_sleep,variance,variable,Refine REM Sleep,Your REM sleep is already elite. Only [X]% of nights fall outside range. The goal is greater robustness.,"This graph shows that your REM sleep is already strong and mostly stays in range, with just a few nights still sitting outside it."
hrv,variance,variable,Refine Baseline HRV,Your HRV is already elite. Only [X]% of nights fall outside range. The goal is greater recovery robustness.,"This graph shows that your HRV is already strong and mostly stays in range, with just a few nights still sitting outside it."
rhr,variance,variable,Refine Baseline RHR,Your resting heart rate is already elite. Only [X]% of nights fall outside range. The goal is greater robustness.,"This graph shows that your RHR is already strong and mostly stays in range, with just a few nights still sitting outside it."
healthspan,healthspan,NA,Protect long-term healthspan,"Healthspan declines with age, which reduces physical function, resilience, and day-to-day capacity over time.","This graph shows that, at the same age, a more proactive approach helps preserve more healthspan for longer.
"
healthspan,systems,NA,Preserve whole-body function,"The body’s main systems also decline with age, though not all at the same rate, which can gradually weaken overall function and resilience.","This graph shows how the body’s main systems all decline over the lifespan, which is why preserving function longer matters for healthier aging."
healthspan,energy,NA,Protect long-term energy,"Available energy declines with age, making it harder to sustain the same level of daily activity, performance, and recovery over time.","This graph shows how energy gradually falls with age, which is why supporting it early is important for preserving day-to-day capacity."
healthspan,inflammation,NA,Preserve long-term resilience,"Chronic inflammation and oxidative stress tend to build up over time, which can gradually reduce long-term health and life expectancy.","This graph shows how higher chronic inflammation and oxidative stress are associated with lower life expectancy, which is why reducing them early can support longevity."